"","EIN","Year","Assets","Liabilities"
"1","04-2492730",2009,11297250,2863315
"2","04-2492730",2010,16603078,7601973
"3","04-2492730",2011,17746104,7977687
"4","04-2492730",2012,18364169,8368339
"5","04-2492730",2013,21553095,8738840
"6","04-2492730",2014,22450225,6997613
"7","04-2492730",2015,26260193,18717374
"8","04-2492730",2016,25847426,18206148
"9","04-2492730",2017,25101733,17447948
"10","04-2492730",2018,24607047,17484551
"11","04-2492730",2019,23610834,17279279
"12","04-2492730",2020,34016652,26986983
"13","04-2492730",2021,37042548,25421540
"14","04-2492730",2022,41450034,18044407
"15","01-0414441",2010,537766,301519
"16","01-0414441",2011,468788,108882
"17","01-0414441",2012,558041,176602
"18","01-0414441",2013,516488,140152
"19","01-0414441",2014,490991,84741
"20","01-0414441",2015,869499,486241
"21","01-0414441",2016,842326,347348
"22","01-0414441",2017,819908,257176
"23","01-0414441",2018,704782,306135
"24","01-0414441",2019,589609,240113
"25","01-0414441",2020,755817,191855
"26","01-0414441",2021,1404144,851246
"27","01-0414441",2022,777070,223128
"28","06-0883545",2009,5917673,3064562
"29","06-0883545",2010,6672977,3744012
"30","06-0883545",2011,7112862,4478200
"31","06-0883545",2012,7871045,4249387
"32","06-0883545",2013,7054440,3995444
"33","06-0883545",2014,7315255,2609950
"34","06-0883545",2015,8021941,2635217
"35","06-0883545",2016,10072549,2486274
"36","06-0883545",2017,10160977,2365309
"37","06-0883545",2018,10442193,2187823
"38","06-0883545",2019,11362368,2324921
"39","06-0883545",2020,18913043,6510612
"40","06-0883545",2021,23485502,5162821
"41","06-0883545",2022,26329071,5651851
"42","06-0870990",2009,27252155,14533469
"43","06-0870990",2010,29040115,14919350
"44","06-0870990",2011,27099376,13161758
"45","06-0870990",2012,24906428,15431573
"46","06-0870990",2013,24803993,14538707
"47","06-0870990",2014,24981851,14052366
"48","06-0870990",2015,22973003,13351596
"49","06-0870990",2016,24311044,13301516
"50","06-0870990",2017,26500405,14553028
"51","06-0870990",2018,28576392,15678831
"52","06-0870990",2019,32355734,17927521
"53","06-0870990",2020,36573908,19446552
"54","06-0870990",2021,53591940,29847157
"55","06-0870990",2022,58681841,18625562
"56","23-7182584",2009,7973830,2223995
"57","23-7182584",2010,19140275,1519422
"58","23-7182584",2011,19839470,1631430
"59","23-7182584",2012,17987098,1410014
"60","23-7182584",2013,19967563,2381506
"61","23-7182584",2014,20011220,1446468
"62","23-7182584",2015,23982775,3030435
"63","23-7182584",2016,25478035,3177096
"64","23-7182584",2017,26698420,4614282
"65","23-7182584",2018,27528912,4476121
"66","23-7182584",2019,28194260,4777237
"67","23-7182584",2020,32835541,8887489
"68","23-7182584",2021,34903500,5109046
"69","23-7182584",2022,36676159,5573227
"70","23-7089746",2009,4342050,585503
"71","23-7089746",2010,4894666,509983
"72","23-7089746",2011,5246924,480535
"73","23-7089746",2012,5449504,334228
"74","23-7089746",2013,5775746,515330
"75","23-7089746",2014,6468701,1105272
"76","23-7089746",2015,8200693,2448459
"77","23-7089746",2016,7292007,1890144
"78","23-7089746",2017,7211743,1612519
"79","23-7089746",2018,8065468,1896190
"80","23-7089746",2019,9294532,1641234
"81","23-7089746",2020,12640489,3918111
"82","23-7089746",2021,13909978,1073396
"83","23-7100550",2009,29996892,18174130
"84","23-7100550",2010,31969576,18143044
"85","23-7100550",2011,32245099,17827607
"86","23-7100550",2012,34648012,19285380
"87","23-7100550",2013,36865292,18936293
"88","23-7100550",2014,44819608,20762527
"89","23-7100550",2015,46358738,20141865
"90","23-7100550",2016,55667011,24720780
"91","23-7100550",2017,56374306,25350940
"92","23-7100550",2018,55966455,24704357
"93","23-7100550",2019,54628942,24646392
"94","23-7100550",2020,60072662,28917276
"95","23-7100550",2021,64061825,27132052
"96","23-7100550",2022,69180948,29370341
"97","22-3158253",2009,3797273,1955072
"98","22-3158253",2010,4281054,1911283
"99","22-3158253",2011,15446396,10028009
"100","22-3158253",2012,18840954,12439142
"101","22-3158253",2013,18702663,11250844
"102","22-3158253",2014,19149805,10654966
"103","22-3158253",2015,18789894,10395605
"104","22-3158253",2016,18621997,10102868
"105","22-3158253",2017,19950328,10343617
"106","22-3158253",2018,22321946,10599939
"107","22-3158253",2019,24591560,10627021
"108","22-3158253",2020,26951138,13760929
"109","22-3158253",2021,29199266,10036389
"110","22-3158253",2022,29655102,9665841
"111","04-2161484",2008,4589782,1405976
"112","04-2161484",2009,4827255,1385251
"113","04-2161484",2010,4776679,1320417
"114","04-2161484",2011,4663403,1254626
"115","04-2161484",2012,4771858,1134631
"116","04-2161484",2013,4711221,1162598
"117","04-2161484",2014,4176193,942002
"118","04-2161484",2015,4103006,1082792
"119","04-2161484",2016,4575530,1113020
"120","04-2161484",2017,5524853,1248053
"121","04-2161484",2018,5691567,1398611
"122","04-2161484",2019,5468257,1099287
"123","04-2161484",2020,6561715,1367810
"124","04-2161484",2021,8704272,1111119
"125","23-7335894",2009,3851118,2668368
"126","23-7335894",2010,4386568,2709768
"127","23-7335894",2011,4817847,2970997
"128","23-7335894",2012,6861067,2660176
"129","23-7335894",2013,7142935,3147451
"130","23-7335894",2014,6537908,3473180
"131","23-7335894",2015,6276754,2942405
"132","23-7335894",2016,6274579,2798314
"133","23-7335894",2017,6651004,2713251
"134","23-7335894",2018,6808510,2653092
"135","23-7335894",2019,6537959,2509968
"136","23-7335894",2020,7116872,2459118
"137","23-7335894",2021,9243175,2401071
"138","23-7335894",2022,9198188,2007851
"139","23-7146768",2009,3250831,1029016
"140","23-7146768",2010,3309383,913725
"141","23-7146768",2011,3178966,929348
"142","23-7146768",2012,2172036,455896
"143","23-7146768",2013,1855717,488948
"144","23-7146768",2014,1574747,449405
"145","23-7146768",2015,1605373,466834
"146","23-7146768",2016,1791576,418617
"147","23-7146768",2017,2023201,443362
"148","23-7146768",2018,2266753,529355
"149","23-7146768",2019,2694219,420010
"150","23-7146768",2020,3852117,1427055
"151","23-7146768",2021,4862490,757484
"152","01-6012835",2008,3038024,87153
"153","01-6012835",2009,3353280,126204
"154","01-6012835",2010,3555066,142523
"155","01-6012835",2011,3307633,145703
"156","01-6012835",2012,3285235,170219
"157","01-6012835",2013,3580643,205914
"158","01-6012835",2014,3652098,128563
"159","01-6012835",2015,3958490,92707
"160","01-6012835",2016,4574491,101222
"161","01-6012835",2017,5782448,114882
"162","01-6012835",2018,5915452,412161
"163","01-6012835",2019,6460830,458290
"164","01-6012835",2020,7543828,916912
"165","01-6012835",2021,8505939,464364
"166","01-6023664",2008,3271366,1781263
"167","01-6023664",2009,3235912,1345379
"168","01-6023664",2010,3859188,1326659
"169","01-6023664",2011,5549118,1507268
"170","01-6023664",2012,6497495,1579043
"171","01-6023664",2013,7308416,1657822
"172","01-6023664",2014,8858478,1769503
"173","01-6023664",2015,10326191,1608055
"174","01-6023664",2016,12375843,2097861
"175","01-6023664",2017,14282928,2112795
"176","01-6023664",2018,15271706,2115329
"177","01-6023664",2019,18489467,2147419
"178","01-6023664",2020,23008276,3720692
"179","01-6023664",2021,25525447,2686359
