EIN,"""form_year"":","""fiscalYearEnd"":","""form_type"":","""changeOfAccounting"":","""fs_contributions"":","""fs_program_service_revenue"":","""fs_other"":","""fs_miscellaneous"":","""ngla_revenue"":","""ngla_contrib_revenue"":","""ngla_grant_revenue"":","""ngla_prog_serv_revenue"":","""ngla_invest_revenue"":","""ngla_special_revenue"":","""ngla_sales_revenue"":","""ngla_other_revenue"":","""ngla_expense"":","""ngla_prog_expense"":","""ngla_admin_expense"":","""ngla_fund_expense"":","""ngla_net_gain_loss"":","""quick_ratio"":","""months_of_cash"":","""fringe_rate"":"
04-2492730,2008,2009,"""9""","""""",5718538.0,10888845.0,2196775.0,0.0,18804158.0,655.0,5717883.0,10888845.0,87174.0,0.0,2109601.0,0.0,19411224.0,15746026.0,3665198.0,0.0,-607066.0,0.8623158821156597,0.3957769221576783,0.20794512224100897
04-2492730,2009,2010,"""9""","""""",6326430.0,11945604.0,3177271.0,0.0,21449305.0,1103.0,6325327.0,11945604.0,90490.0,0.0,3086781.0,0.0,20662242.0,16923972.0,3738270.0,0.0,787063.0,0.47340578557698115,0.9044373033049146,0.20616210762018494
04-2492730,2010,2011,"""9""","""""",6389111.0,13719849.0,4379117.0,0.0,24488077.0,3630.0,6385481.0,13719849.0,94308.0,0.0,4284809.0,0.0,23720765.0,19646267.0,4074498.0,0.0,767312.0,0.5053883412573092,0.46603926255493794,0.19061479305181056
04-2492730,2011,2012,"""9""","""""",6074140.0,14694402.0,5342848.0,0.0,26111390.0,28090.0,6046050.0,14694402.0,97988.0,0.0,5244860.0,0.0,26457084.0,21725475.0,4731609.0,0.0,-345694.0,0.5245228473655286,0.4793798461318992,0.18480179115051673
04-2492730,2012,2013,"""9""","""""",7933964.0,26067825.0,118767.0,0.0,34120556.0,1819666.0,6114298.0,26067825.0,118767.0,0.0,0.0,0.0,31268218.0,26442563.0,4825655.0,0.0,2852338.0,0.5414242622590641,0.8602550338741473,0.18850617672299227
04-2492730,2013,2014,"""9""","""""",8019385.0,27423864.0,160076.0,1058301.0,36661626.0,798775.0,7220610.0,27423864.0,160076.0,0.0,0.0,1058301.0,33623269.0,28516432.0,5106837.0,0.0,3038357.0,0.7396746576296803,1.0643006949867946,0.16793403410344235
04-2492730,2014,2015,"""9""","""""",7301188.0,28566022.0,241643.0,-7952205.0,28156648.0,686188.0,6615000.0,28566022.0,241643.0,0.0,0.0,-7952205.0,36066441.0,31988184.0,4078257.0,0.0,-7909793.0,0.34043402669626627,1.416236441008146,0.15929187160942918
04-2492730,2015,2016,"""9""","""""",7791146.0,31558046.0,332501.0,0.0,39681693.0,309746.0,7481400.0,31558046.0,332501.0,0.0,0.0,0.0,39487643.0,33300064.0,6187579.0,0.0,194050.0,0.3920365801706105,1.426216343864308,0.15851491132003062
04-2492730,2016,2017,"""9""","""""",8214409.0,33073771.0,380590.0,0.0,41668770.0,391976.0,7822433.0,33073771.0,380590.0,0.0,0.0,0.0,41656263.0,37370017.0,4286246.0,0.0,12507.0,0.4041986484599794,1.2387164056589313,0.15525230700524034
04-2492730,2017,2018,"""9""","""""",7823634.0,34702527.0,310275.0,0.0,42836436.0,352768.0,7470866.0,34702527.0,310275.0,0.0,0.0,0.0,43368182.0,37765502.0,5602680.0,0.0,-531746.0,0.407940987446575,1.229798457452192,0.15780646820695665
