"","EIN","Year","Staff"
"1","04-2492730","2009","317"
"2","04-2492730","2010","293"
"3","04-2492730","2011","315"
"4","04-2492730","2012","365"
"5","04-2492730","2013","376"
"6","04-2492730","2014","372"
"7","04-2492730","2015","372"
"8","04-2492730","2016","386"
"9","04-2492730","2017","377"
"10","04-2492730","2018","397"
"11","04-2492730","2019","409"
"12","04-2492730","2020","411"
"13","04-2492730","2021","431"
"14","01-0414441","2010","24"
"15","01-0414441","2011","20"
"16","01-0414441","2012","21"
"17","01-0414441","2013","26"
"18","01-0414441","2014","28"
"19","01-0414441","2015","31"
"20","01-0414441","2016","54"
"21","01-0414441","2017","61"
"22","01-0414441","2018","43"
"23","01-0414441","2019","24"
"24","01-0414441","2020","23"
"25","01-0414441","2021","40"
"26","06-0883545","2009","188"
"27","06-0883545","2010","224"
"28","06-0883545","2011","236"
"29","06-0883545","2012","236"
"30","06-0883545","2013","246"
"31","06-0883545","2014","234"
"32","06-0883545","2015","233"
"33","06-0883545","2016","243"
"34","06-0883545","2017","244"
"35","06-0883545","2018","253"
"36","06-0883545","2019","255"
"37","06-0883545","2020","256"
"38","06-0883545","2021","304"
"39","06-0870990","2009","600"
"40","06-0870990","2010","603"
"41","06-0870990","2011","607"
"42","06-0870990","2012","583"
"43","06-0870990","2013","557"
"44","06-0870990","2014","582"
"45","06-0870990","2015","621"
"46","06-0870990","2016","607"
"47","06-0870990","2017","597"
"48","06-0870990","2018","538"
"49","06-0870990","2019","640"
"50","06-0870990","2020","645"
"51","06-0870990","2021","655"
"52","23-7182584","2009","159"
"53","23-7182584","2010","155"
"54","23-7182584","2011","165"
"55","23-7182584","2012","159"
"56","23-7182584","2013","187"
"57","23-7182584","2014","200"
"58","23-7182584","2015","223"
"59","23-7182584","2016","244"
"60","23-7182584","2017","342"
"61","23-7182584","2018","378"
"62","23-7182584","2019","390"
"63","23-7182584","2020","418"
"64","23-7089746","2009","113"
"65","23-7089746","2010","140"
"66","23-7089746","2011","122"
"67","23-7089746","2012","121"
"68","23-7089746","2013","125"
"69","23-7089746","2014","129"
"70","23-7089746","2015","141"
"71","23-7089746","2016","164"
"72","23-7089746","2017","174"
"73","23-7089746","2018","170"
"74","23-7089746","2019","181"
"75","23-7089746","2020","179"
"76","23-7089746","2021","186"
"77","23-7100550","2009","531"
"78","23-7100550","2010","516"
"79","23-7100550","2011","549"
"80","23-7100550","2012","589"
"81","23-7100550","2013","591"
"82","23-7100550","2014","597"
"83","23-7100550","2015","619"
"84","23-7100550","2016","648"
"85","23-7100550","2017","681"
"86","23-7100550","2018","699"
"87","23-7100550","2019","732"
"88","23-7100550","2020","765"
"89","23-7100550","2021","688"
"90","22-3158253","2009","155"
"91","22-3158253","2010","181"
"92","22-3158253","2011","201"
"93","22-3158253","2012","201"
"94","22-3158253","2013","248"
"95","22-3158253","2014","242"
"96","22-3158253","2015","252"
"97","22-3158253","2016","287"
"98","22-3158253","2017","257"
"99","22-3158253","2018","258"
"100","22-3158253","2019","501"
